To	TO	to
Rip	NP	Rip
Caldwell	NP	Caldwell
,	,	,
whose	WP$	whose
flight	NN	flight
took	VBD	take
off	RP	off
with	IN	with
the	DT	the
score	NN	score
tied	VBD	tie
.	SENT	.
United	NP	United
Airlines	NPS	Airlines
dedicates	VBZ	dedicate
friendship	NN	friendship
service	NN	service
.	SENT	.
On	IN	on
many	JJ	many
of	IN	of
our	PP$	our
cross-country	JJ	cross-country
flights	NNS	flight
,	,	,
Rip	NP	Rip
can	MD	can
hear	VB	hear
top	JJ	top
college	NN	college
and	CC	and
pro	JJ	pro
football	NN	football
games	NNS	game
and	CC	and
the	DT	the
latest	JJS	late
news	NN	news
.	SENT	.
Another	DT	another
reason	NN	reason
more	JJR	more
people	NNS	people
choose	VBP	choose
the	DT	the
friendly	JJ	friendly
skies	NNS	sky
than	IN	than
any	DT	any
other	JJ	other
airline	NN	airline
in	IN	in
the	DT	the
land	NN	land
.	SENT	.
The	DT	the
friendly	JJ	friendly
skies	NNS	sky
of	IN	of
your	PP$	your
land	NN	land
,	,	,
United	NP	United
Airlines	NPS	Airlines
.	SENT	.
Thank	VB	thank
you	PP	you
for	IN	for
watching	VBG	watch
.	SENT	.
