Want	VBP	want
to	TO	to
win	VB	win
fabulous	JJ	fabulous
prizes	NNS	prise
on	IN	on
your	PP$	your
phone	NN	phone
?	SENT	?
Introducing	VBG	introduce
the	DT	the
all-new	JJ	all-new
Winner	NP	Winner
's	POS	's
Telephone	NP	Telephone
Game	NP	Game
Show	NP	Show
!	SENT	!
It	PP	it
's	VBZ	be
like	IN	like
being	VBG	be
on	IN	on
a	DT	a
TV	NN	TV
game	NN	game
show	NN	show
in	IN	in
your	PP$	your
own	JJ	own
home	NN	home
!	SENT	!
I	PP	I
won	VBD	win
a	DT	a
big-screen	NN	big-screen
TV	NN	TV
!	SENT	!
I	PP	I
won	VBD	win
this	DT	this
watch	NN	watch
!	SENT	!
It	PP	it
's	VBZ	be
easy	JJ	easy
.	SENT	.
Call	NN	call
1-900-9999-000	CD	@card@
.	SENT	.
Select	VB	select
your	PP$	your
favorite	JJ	favorite
category	NN	category
and	CC	and
answer	VB	answer
the	DT	the
question	NN	question
.	SENT	.
John	NP	John
Wayne	NP	Wayne
was	VBD	be
press	VB	press
1	CD	@card@
for	IN	for
the	DT	the
king	NN	king
,	,	,
2	CD	@card@
the	DT	the
duke	NN	duke
,	,	,
3	CD	@card@
...	:	...
We	PP	we
won	VBD	win
a	DT	a
cruise	NN	cruise
!	SENT	!
Call	NN	call
1-900-9999-000	CD	@card@
.	SENT	.
It	PP	it
's	VBZ	be
the	DT	the
fun	NN	fun
of	IN	of
a	DT	a
game	NN	game
show	NN	show
with	IN	with
fabulous	JJ	fabulous
prizes	NNS	prise
all	RB	all
at	IN	at
home	NN	home
on	IN	on
your	PP$	your
phone	NN	phone
.	SENT	.
