Dependent	HypothesisType	Source	DF	SS	MS	FValue	ProbF
vis1	1	decade	7	6076.539696	868.077099	60.70	<.0001
vis1	3	decade	7	6076.539696	868.077099	60.70	<.0001
vis2	1	decade	7	997.885804	142.555115	4.12	0.0002
vis2	3	decade	7	997.885804	142.555115	4.12	0.0002
vis3	1	decade	7	3931.262159	561.608880	43.72	<.0001
vis3	3	decade	7	3931.262159	561.608880	43.72	<.0001
vis4	1	decade	7	866.378750	123.768393	4.89	<.0001
vis4	3	decade	7	866.378750	123.768393	4.89	<.0001
vis5	1	decade	7	640.289802	91.469972	7.81	<.0001
vis5	3	decade	7	640.289802	91.469972	7.81	<.0001
vis6	1	decade	7	1531.591307	218.798758	17.08	<.0001
vis6	3	decade	7	1531.591307	218.798758	17.08	<.0001
vis7	1	decade	7	8515.195655	1216.456522	96.70	<.0001
vis7	3	decade	7	8515.195655	1216.456522	96.70	<.0001
vis8	1	decade	7	350.209397	50.029914	6.34	<.0001
vis8	3	decade	7	350.209397	50.029914	6.34	<.0001
